	text_a	text_b	label
0	Labs were notable for Cr 1.7 (baseline 0.5 per old records) and lactate 2.4.	 Patient has elevated Cr	entailment
1	Labs were notable for Cr 1.7 (baseline 0.5 per old records) and lactate 2.4.	 Patient has normal Cr	contradiction
2	Labs were notable for Cr 1.7 (baseline 0.5 per old records) and lactate 2.4.	 Patient has elevated BUN	neutral
3	Nystagmus and twiching of R arm was noted.	 The patient had abnormal neuro exam.	entailment
4	Nystagmus and twiching of R arm was noted.	 The patient has a normal neuro exam.	contradiction
5	Nystagmus and twiching of R arm was noted.	 The patient has an acute stroke.	neutral
6	The patient was seen by his primary care physician after he had complained of a one-week history of dyspnea on exertion and jaw tightness.	 The patient has symptoms of a CHF exacerbation. 	entailment
7	The patient was seen by his primary care physician after he had complained of a one-week history of dyspnea on exertion and jaw tightness.	 The patient has no symptoms. 	contradiction
8	The patient was seen by his primary care physician after he had complained of a one-week history of dyspnea on exertion and jaw tightness.	 The patient has has coronary artery disease. 	neutral
9	At [**Hospital 1456**] Hospital the patient was experiencing 10 out of 10 chest pain and received nitropaste two inches, three sublingual nitroglycerins, morphine 4 mg intravenously, Lopressor 5 mg intravenously.	 The patient is being treated with medications used to treat acute coronary syndrome. 	entailment
10	At [**Hospital 1456**] Hospital the patient was experiencing 10 out of 10 chest pain and received nitropaste two inches, three sublingual nitroglycerins, morphine 4 mg intravenously, Lopressor 5 mg intravenously.	 The patient is asymptomatic. 	contradiction
11	At [**Hospital 1456**] Hospital the patient was experiencing 10 out of 10 chest pain and received nitropaste two inches, three sublingual nitroglycerins, morphine 4 mg intravenously, Lopressor 5 mg intravenously.	 The patient is having a myocardial infarction. 	neutral
12	History of nephrolithiasis with hematuria 5.	 patient has a history of kidney stones	entailment
14	History of nephrolithiasis with hematuria 5.	 patient has flank pain	neutral
15	Per patient, he took a combined 100+ pills of Lisinopril, Nifedipine, and Atenolol late yesterday evening.	 The patient overdosed on medication. 	entailment
19	Temporary pacing wire was placed on [**11-7**] for persistent complete heart block, but per report the patient was not pacer dependent.	 The patient has normal cardiac function	contradiction
21	On [**8-19**], he did finally have his cardiac catheterization which showed no flow limiting coronary artery disease but he did have an ascending aortic aneurysm of approximately six cm.	 Cardiac catheterization revealed no blockage	entailment
22	On [**8-19**], he did finally have his cardiac catheterization which showed no flow limiting coronary artery disease but he did have an ascending aortic aneurysm of approximately six cm.	 Cardiac catheterization revealed flow limiting blockage	contradiction
23	On [**8-19**], he did finally have his cardiac catheterization which showed no flow limiting coronary artery disease but he did have an ascending aortic aneurysm of approximately six cm.	 The patient has a history of hypertension and smoking	neutral
24	At [**Hospital **] rehab, he was being treated with vanco/flagyl for suspected aspiration pneumonia.	 The patient has suspected aspiration pneumonia	entailment
27	AROM at delivery yielded clear amniotic fluid.	 Patient has delivered a baby	entailment
28	AROM at delivery yielded clear amniotic fluid.	 Patient has not been pregnant	contradiction
29	AROM at delivery yielded clear amniotic fluid.	 Patient has no PMH	neutral
30	Left dominant, mild left main, 50% left anterior descending and minimal luminal irregularities.	 There is 50% blockage in the left anterior descending coronary artery	entailment
32	Left dominant, mild left main, 50% left anterior descending and minimal luminal irregularities.	 The patient has a history of high cholesterol and high blood pressure	neutral
33	The patient began having symptoms of abdominal pain, nausea and vomiting similar to [** Location **]us episodes of diverticulitis three weeks ago and about a week later presented to the [**Hospital3 **] when she noted stool draining from her vagina and a CT scan at the outside hospital documented the enterovaginal fistula.	 She has a history of digestive disease	entailment
34	The patient began having symptoms of abdominal pain, nausea and vomiting similar to [** Location **]us episodes of diverticulitis three weeks ago and about a week later presented to the [**Hospital3 **] when she noted stool draining from her vagina and a CT scan at the outside hospital documented the enterovaginal fistula.	 She has no gastrointestinal dysfunction	contradiction
35	The patient began having symptoms of abdominal pain, nausea and vomiting similar to [** Location **]us episodes of diverticulitis three weeks ago and about a week later presented to the [**Hospital3 **] when she noted stool draining from her vagina and a CT scan at the outside hospital documented the enterovaginal fistula.	 She has a history of obesity	neutral
36	She was started on Dilantin.	 The patient has pain. 	entailment
37	She was started on Dilantin.	 The patient has no pain issues. 	contradiction
38	She was started on Dilantin.	 The patient is hospitalized	neutral
39	[**Known patient firstname **] [**Known patient lastname 6979**] is a 54-year-old woman with history of CNS lymphoma who presents with increasing seizures and hypotension.	 the patient has CNS lymphoma	entailment
41	[**Known patient firstname **] [**Known patient lastname 6979**] is a 54-year-old woman with history of CNS lymphoma who presents with increasing seizures and hypotension.	 the patient has HIV	neutral
43	At that time, he characterized his pain as chest tightening and burning, with associated radiation to his neck, jaw and arms.	 He denies pain 	contradiction
