base_model,task,finetuning,epochs,batch_size,adapter_type,finetuning+adapter,eval_accuracy_list,mean_accuracy,std_accuracy,train_runtime_list,mean_runtime,std_runtime
BioBert,BioASQ,model+adapter,25,8,EP_NB,model+adapter EP_NB,"[0.88, 0.84, 0.7866666666666666, 0.8513513513513513, 0.7837837837837838, 0.8648648648648649, 0.7432432432432432, 0.7837837837837838, 0.8648648648648649, 0.8648648648648649]",0.8263423423423424,0.047428498135703,"[575.3604, 578.9898, 579.8366, 578.1873, 583.1648, 1472.0834, 591.5771, 581.2304, 576.0989, 574.6868]",669.1215500000001,282.17432605230346
BioBert,BioASQ,model+adapter,25,8,LP_FULL,model+adapter LP_FULL,"[0.8533333333333334, 0.8266666666666667, 0.76, 0.9324324324324323, 0.8243243243243243, 0.8513513513513513, 0.8378378378378378, 0.8108108108108109, 0.8243243243243243, 0.7837837837837838]",0.8304864864864865,0.04598489389269238,"[248.5403, 248.3748, 248.484, 248.4333, 247.8266, 248.6712, 249.3938, 248.0115, 248.5588, 246.6141]",248.29084000000003,0.7199451293906526
BioBert,BioASQ,model+adapter,25,8,LP_NB,model+adapter LP_NB,"[0.84, 0.8266666666666667, 0.7866666666666666, 0.8783783783783784, 0.7837837837837838, 0.8108108108108109, 0.7837837837837838, 0.8378378378378378, 0.8108108108108109, 0.8108108108108109]",0.8169549549549548,0.029936243939808916,"[569.8309, 570.9862, 569.4835, 568.838, 569.7702, 570.0626, 604.3064, 585.2506, 587.6549, 581.7492]",577.79325,11.80666736610669
BioBert,BioASQ,only_model,25,8,only_model,only_model,"[0.76, 0.8533333333333334, 0.8133333333333334, 0.8783783783783784, 0.8648648648648649, 0.8918918918918919, 0.7972972972972973, 0.8648648648648649, 0.8378378378378378, 0.8648648648648649]",0.8426666666666668,0.0409151241072791,"[178.897, 177.7518, 177.6039, 179.5957, 179.0454, 179.0311, 178.8956, 180.2249, 178.8696, 179.269]",178.9184,0.7752887089479684
BioBert,HoC,model+adapter,25,16,EP_NB,model+adapter EP_NB,"[0.8419540229885057, 0.8523706896551724, 0.8480057491915199, 0.8379446640316206, 0.8501616960114984]",0.8460873643756635,0.005982236936636991,"[6894.3659, 6859.027, 6905.4187, 6933.5738, 7025.9407]",6923.66522,63.10296921735949
BioBert,HoC,model+adapter,25,16,LP_FULL,model+adapter LP_FULL,"[0.8232758620689655, 0.8426724137931034, 0.83399209486166, 0.8253683075817463, 0.8548329141214517]",0.8360283184853854,0.01302079109787702,"[2679.0279, 2677.0243, 2679.7789, 2688.2946, 2676.4019]",2680.10552,4.783818938045267
BioBert,HoC,model+adapter,25,16,LP_NB,model+adapter LP_NB,"[0.8430316091954023, 0.8412356321839081, 0.8390226374416098, 0.8257276320517427, 0.8411785842615882]",0.8380392190268502,0.007027426918276644,"[6995.4755, 6884.3129, 6917.6808, 6985.8185, 6962.9225]",6949.24204,47.10209742408497
BioBert,HoC,only_model,25,16,only_model,only_model,"[0.8390804597701149, 0.8448275862068966, 0.8469277757815307, 0.8336327703916637, 0.8494430470715055]",0.8427823278443423,0.006386533289107039,"[2080.4912, 2085.1776, 2084.8286, 2082.5957, 2084.0783]",2083.43428,1.921131889538147
BioBert,MedNLI,model+adapter,25,16,EP_NB,model+adapter EP_NB,"[0.7971014492753623, 0.8049417913993823, 0.8077928248990259]",0.8032786885245903,0.005536317509019254,"[5290.4607, 5381.6887, 5265.3296]",5312.4929999999995,61.228479653425865
BioBert,MedNLI,model+adapter,25,16,LP_FULL,model+adapter LP_FULL,"[0.7971014492753623, 0.8075552387740556, 0.8106438583986695]",0.8051001821493625,0.007097160593406075,"[2037.323, 2040.301, 2045.0366]",2040.8868666666667,3.890030340927116
BioBert,MedNLI,model+adapter,25,16,LP_NB,model+adapter LP_NB,"[0.804704205274412, 0.799239724400095, 0.8104062722736992]",0.8047834006494021,0.0055836951729063885,"[5245.0675, 5240.6483, 5308.1718]",5264.6292,37.77367923872382
BioBert,MedNLI,only_model,25,16,only_model,only_model,"[0.804704205274412, 0.810168686148729, 0.8113566167735804]",0.8087431693989071,0.0035479174443022107,"[1579.6291, 1580.8754, 1579.0672]",1579.8572333333334,0.9254352615571148
BioBert,MedQA,model+adapter,25,12,LP_FULL,model+adapter LP_FULL,"[0.300324196875921, 0.3050397877984085, 0.30630896226415094]",0.3038909823128268,0.0031534377623184165,"[8079.0323, 8141.2918, 8133.2281]",8117.850733333333,33.85866047650644
BioBert,MedQA,only_model,25,12,only_model,only_model,"[0.3221338048924256, 0.3183023872679045, 0.31987028301886794]",0.32010215839306605,0.0019262047905771484,"[6326.0852, 6389.3256, 6383.8011]",6366.403966666668,35.02616499423387
BioBert,PubMedQa,model+adapter,25,12,EP,model+adapter EP,"[0.52, 0.68, 0.58, 0.56, 0.6, 0.68, 0.58, 0.6, 0.56, 0.68]",0.604,0.05719362823873924,"[1170.3757, 1171.648, 1171.0013, 1170.9406, 1172.2424, 1170.3426, 1171.5305, 1168.9405, 1170.2336, 1186.2072]",1172.34624,4.955743771782031
BioBert,PubMedQa,model+adapter,25,12,EP_NB,model+adapter EP_NB,"[0.6, 0.64, 0.58, 0.56, 0.58, 0.68, 0.58, 0.6, 0.6, 0.72]",0.614,0.05081557066709202,"[1178.7661, 1178.8052, 1179.4604, 1178.7926, 1179.705, 1178.7213, 1178.3536, 1179.66, 1179.5098, 1179.7535]",1179.15275,0.5131713472775864
BioBert,PubMedQa,model+adapter,25,12,LP,model+adapter LP,"[0.6, 0.62, 0.64, 0.48, 0.62, 0.68, 0.58, 0.56, 0.54, 0.66]",0.5980000000000001,0.059962951524716965,"[1177.6831, 1177.5012, 1177.6743, 1178.9293, 1179.0531, 1180.0038, 1179.7352, 1179.2672, 1177.6831, 1177.6794]",1178.52097,0.9746205826429827
BioBert,PubMedQa,model+adapter,25,12,LP_FULL,model+adapter LP_FULL,"[0.66, 0.6, 0.52, 0.42, 0.62, 0.54, 0.54, 0.5, 0.58, 0.64]",0.562,0.07269418439218124,"[378.8428, 378.0895, 378.0084, 378.2489, 378.2574, 378.1885, 378.0415, 378.4338, 519.4454, 1195.9241]",474.14803,257.45836121782685
BioBert,PubMedQa,model+adapter,25,12,LP_NB,model+adapter LP_NB,"[0.6, 0.64, 0.62, 0.52, 0.62, 0.72, 0.58, 0.6, 0.62, 0.68]",0.62,0.05416025603090639,"[1179.1158, 1180.727, 1179.476, 1179.3419, 1180.0257, 1179.4915, 1179.1573, 1179.4693, 1181.3475, 1180.6465]",1179.87985,0.771606336374552
BioBert,PubMedQa,only_fusion,25,12,EP,only_fusion EP,[0.54],0.54,,[298.9096],298.9096,
BioBert,PubMedQa,only_fusion,25,12,EP_NB,only_fusion EP_NB,"[0.58, 0.64, 0.54, 0.5, 0.62, 0.68]",0.5933333333333334,0.06653319973266482,"[299.0043, 298.3171, 299.5061, 298.2369, 298.7089, 300.5705]",299.0573,0.8759382900638573
BioBert,PubMedQa,only_model,25,12,only_model,only_model,"[0.5, 0.64, 0.54, 0.5, 0.62, 0.68, 0.68, 0.54, 0.62, 0.64]",0.596,0.06979334575094612,"[300.3129, 298.4225, 299.8401, 299.2742, 299.7305, 299.9678, 298.9928, 299.1611, 298.8494, 298.9281]",299.34794,0.5917644035706476
PubMedBert,BioASQ,model+adapter,25,8,EP,model+adapter EP,"[0.8933333333333333, 0.8133333333333334, 0.8, 0.8648648648648649, 0.7567567567567568, 0.8783783783783784, 0.8378378378378378, 0.8513513513513513, 0.8108108108108109, 0.7567567567567568]",0.8263423423423424,0.04740582809911652,"[1028.6543, 1038.2584, 1031.8242, 1015.497, 1019.4464, 617.8322, 586.4104, 587.8518, 733.9284, 718.8797]",837.85828,204.88857198431754
PubMedBert,BioASQ,model+adapter,25,8,EP_NB,model+adapter EP_NB,"[0.8133333333333334, 0.8266666666666667, 0.8, 0.8108108108108109, 0.7972972972972973, 0.8918918918918919, 0.8108108108108109, 0.7972972972972973, 0.8108108108108109, 0.8243243243243243]",0.8183243243243243,0.027753083740018936,"[579.582, 575.8222, 585.1898, 575.9317, 576.2235, 579.3473, 577.8545, 582.7311, 601.5013, 590.5403]",582.47237,8.16592897607698
PubMedBert,BioASQ,model+adapter,25,8,LP,model+adapter LP,"[0.8, 0.8, 0.7866666666666666, 0.8648648648648649, 0.8513513513513513, 0.8648648648648649]",0.8279579579579579,0.036165607895315165,"[1056.6216, 1041.31, 2179.334, 2311.1017, 2436.6828, 2270.0932]",1882.5238833333333,650.9735247404534
PubMedBert,BioASQ,model+adapter,25,8,LP_FULL,model+adapter LP_FULL,"[0.8266666666666667, 0.8533333333333334, 0.8, 0.945945945945946, 0.918918918918919, 0.7837837837837838, 0.8108108108108109, 0.8378378378378378, 0.8783783783783784, 0.8513513513513513]",0.8507027027027027,0.05151215186806281,"[242.5612, 242.7112, 242.8991, 241.9817, 242.3193, 243.1317, 243.0253, 242.5713, 241.861, 242.9949]",242.60567,0.43850418229349986
PubMedBert,BioASQ,model+adapter,25,8,LP_NB,model+adapter LP_NB,"[0.8266666666666667, 0.8133333333333334, 0.7866666666666666, 0.8513513513513513, 0.8243243243243243, 0.8513513513513513, 0.7972972972972973, 0.7702702702702703, 0.8243243243243243, 0.8243243243243243]",0.8169909909909909,0.026076449959758028,"[575.0395, 571.8935, 572.1408, 574.64, 573.4807, 573.6038, 574.2112, 576.3207, 592.1573, 589.1566]",577.26441,7.211775620230795
PubMedBert,BioASQ,model+adapter,25,8,LP_REL,model+adapter LP_REL,"[0.8933333333333333, 0.84, 0.8, 0.8648648648648649, 0.7567567567567568, 0.8783783783783784, 0.8243243243243243, 0.8513513513513513, 0.8378378378378378, 0.8378378378378378]",0.8384684684684685,0.03919398679687313,"[569.0843, 572.0838, 604.6588, 573.7596, 587.2986, 586.005, 584.9091, 580.7636, 583.7839, 584.7086]",582.70553,10.033939962951326
PubMedBert,BioASQ,only_model,25,8,only_model,only_model,"[0.8666666666666667, 0.84, 0.8, 0.8783783783783784, 0.7702702702702703, 0.918918918918919, 0.8378378378378378, 0.8513513513513513, 0.8108108108108109, 0.7972972972972973]",0.8371531531531531,0.04422474715239337,"[180.1297, 179.8052, 180.092, 180.3411, 180.3585, 180.4894, 180.0381, 180.0518, 180.4684, 180.1361]",180.19103,0.21724255798530362
PubMedBert,HoC,model+adapter,25,16,EP,model+adapter EP,"[0.8477011494252874, 0.8494971264367817, 0.849802371541502, 0.8318361480416816, 0.8530362917714697]",0.8463746174433444,0.008351710080392804,"[29074.6243, 10508.9362, 10503.8046, 10498.9893, 10508.6061]",14218.9921,8304.55185581922
PubMedBert,HoC,model+adapter,25,16,EP_NB,model+adapter EP_NB,"[0.8516522988505747, 0.8487787356321839, 0.8483650736615164, 0.8429752066115702, 0.849802371541502]",0.8483147372594694,0.0032434853520019995,"[10507.9322, 100013.5573, 10531.7494, 10530.9301, 10529.6333]",28422.760459999998,40020.47330340884
PubMedBert,HoC,model+adapter,25,16,LP,model+adapter LP,"[0.8408764367816092, 0.8505747126436781, 0.8569888609414301, 0.8404599353215954, 0.8494430470715055]",0.8476685985519637,0.00700998831587111,"[10501.1381, 10499.3331, 10511.4566, 10506.1886, 10515.8899]",10506.80126,6.937141248597931
PubMedBert,HoC,model+adapter,25,16,LP_FULL,model+adapter LP_FULL,"[0.8484195402298851, 0.8459051724137931, 0.8494430470715055, 0.840100610851599, 0.8548329141214517]",0.8477402569376469,0.00537118314451788,"[3252.91, 3291.9973, 3418.4396, 3406.1705, 3282.0345]",3330.31038,76.33935540929735
PubMedBert,HoC,model+adapter,25,16,LP_NB,model+adapter LP_NB,"[0.850933908045977, 0.8516522988505747, 0.8569888609414301, 0.8368666906216313, 0.8530362917714697]",0.8498956100462166,0.007650079241840956,"[10494.731, 10499.8923, 10511.8479, 10502.4883, 10505.3113]",10502.854159999999,6.360367378383517
